site,set_name,reading_date,position,pin_number,measurement,read_by,timestep
Broadkill,BK_Set2,3/19/2015,7,6,176,L_Haaf,t3
Broadkill,BK_Set2,3/19/2015,7,7,176,L_Haaf,t3
Broadkill,BK_Set2,3/19/2015,7,8,178,L_Haaf,t3
Broadkill,BK_Set2,3/19/2015,7,9,177,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,1,263,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,2,263,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,3,262,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,4,263,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,5,259,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,6,262,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,7,266,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,8,263,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,1,9,268,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,1,271,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,2,270,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,3,272,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,4,269,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,5,272,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,6,270,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,7,265,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,8,268,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,3,9,269,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,1,266,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,2,274,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,3,270,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,4,267,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,5,266,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,6,269,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,7,267,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,8,270,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,5,9,269,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,1,264,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,2,264,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,3,264,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,4,260,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,5,265,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,6,263,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,7,262,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,8,262,L_Haaf,t3
Broadkill,BK_Set3,3/19/2015,7,9,263,L_Haaf,t3
